	x
399	YDL050C
400	YJR143C
401	YJR092W
402	YDR184C
403	YJL033W
404	YDR023W
405	YPL255W
406	YDR449C
407	YDL201W
408	YDL060W
409	YPR187W
410	YDR234W
411	YER070W
412	YDR087C
413	YHR043C
414	YBR121C
415	YGR264C
416	YLL034C
417	YDR299W
418	YPL086C
419	YIL091C
420	YNL044W
421	YNL247W
422	YKL156W
423	YNL075W
424	YDL179W
425	YLR405W
426	YHR066W
427	YJL211C
428	YLR009W
429	YNL209W
430	YNL292W
431	YOR198C
432	YPL160W
433	YLR314C
434	YHR049W
435	YIL123W
436	YHR065C
437	YJL169W
438	YDR083W
439	YGL195W
440	YNL153C
441	YNL151C
442	YJR109C
443	YLR045C
444	YGL111W
445	YLL018C
446	YBR238C
447	YJR105W
448	YCL063W
449	YIL079C
450	YFL001W
451	YBL076C
452	YJL056C
453	YNR021W
454	YDL192W
455	YBR247C
456	YER127W
457	YKL099C
458	YML106W
459	YKR024C
460	YLR084C
461	YPL227C
462	YBL009W
463	YGR280C
464	YDR309C
465	YDR429C
466	YDR127W
467	YHR163W
468	YBR085W
469	YBR068C
470	YPR163C
471	YLR146C
472	YKL164C
473	YLR003C
474	YNL282W
475	YNL024C
476	YKL021C
477	YJL010C
478	YPL144W
479	YMR001C
480	YKL205W
481	YJR041C
482	YER026C
483	YNR054C
484	YKL172W
485	YAR018C
486	YMR128W
487	YDR120C
488	YPL252C
489	YGL012W
490	YHR143W
491	YHR025W
492	YBR142W
493	YJR016C
494	YGR195W
495	YJL218W
496	YOR133W
497	YDR412W
498	YKR079C
499	YHR148W
500	YJL168C
501	YJR002W
502	YAR068W
503	YOR004W
504	YPR144C
505	YIR020C-B
506	YPL198W
507	YIL009W
508	YHR214C-B
509	YLR221C
510	YNL313C
511	YDL112W
512	YDL241W
513	YLR040C
514	YHR183W
515	YOL041C
516	YNL300W
517	YOR167C
518	YMR144W
519	YBL028C
520	YIR021W
521	YER016W
522	YBR252W
523	YHR064C
524	YGL099W
525	YDR021W
526	YPR033C
527	YDL152W
528	YOR246C
529	YAL036C
530	YOR025W
