	x
397	YCR061W
398	YML087C
399	YMR015C
400	YGL196W
401	YBR056W
402	YPL095C
403	YBL033C
404	YGR070W
405	YIR039C
406	YBR128C
407	YPL165C
408	YHR202W
409	YDL057W
410	YPL213W
411	YHL024W
412	YGR053C
413	YKL188C
414	YOR161C
415	YNR073C
416	YIL071C
417	YMR271C
418	YPL017C
419	YLR254C
420	YPL166W
421	YGR161W-C
422	YBR026C
423	YGR121C
424	YOR054C
425	YPL004C
426	YIL088C
427	YNL037C
428	YLL019C
429	YLL041C
430	YAL039C
431	YJL172W
432	YOR152C
433	YBR269C
434	YBR126C
435	YOR036W
436	YGR225W
437	YBL101C
438	YKL050C
439	YDR085C
440	YLR136C
441	YHR104W
442	YIL066C
443	YNL036W
444	YJR019C
445	YOR382W
446	YKL065W-A
447	YGL227W
448	YEL041W
449	YPR049C
450	YDR481C
451	YCL033C
452	YDR014W-A
453	YMR191W
454	YDR022C
455	YCR083W
456	YDR018C
457	YOL032W
458	YDR358W
459	YCL035C
460	YKR009C
461	YNL242W
462	YIR037W
463	YER015W
464	YKL091C
465	YCL039W
466	YMR114C
467	YMR322C
468	YDR374C
469	YNR014W
470	YNR007C
471	YDR074W
472	YCL026C-B
473	YIL111W
474	YML054C
475	YDL214C
476	YHR007C
477	YKR046C
478	YKL148C
479	YDR425W
480	YNL065W
481	YNL241C
482	YHR113W
483	YEL070W
484	YCL048W
485	YBL029C-A
486	YMR053C
487	YDR216W
488	YMR096W
489	YOR134W
490	YER084W
491	YOR040W
492	YJL185C
493	YPL177C
494	YPL247C
495	YBR230W-A
496	YOR215C
497	YDR516C
498	YDL243C
499	YBR066C
500	YMR226C
501	YOR031W
502	YNL173C
503	YPL203W
504	YLR431C
505	YPL154C
506	YIL071W-A
507	YOL019W
508	YGL141W
509	YFL042C
510	YPR015C
511	YOR178C
512	YBR235W
513	YGL205W
514	YKL124W
515	YLR246W
516	YBR149W
517	YHR075C
518	YBR001C
519	YPL196W
520	YGL183C
521	YIL050W
522	YGR067C
523	YFL011W
524	YGR130C
525	YOR292C
526	YIL163C
527	YGL208W
528	YHR037W
529	YMR173W
530	YDR270W
531	YLR324W
532	YAL008W
533	YER046W
534	YDR148C
535	YAL049C
536	YJL036W
537	YIR018W
538	YJR095W
539	YOL150C
540	YJL066C
541	YPL119C-A
542	YMR323W
543	YIL017C
544	YHR028C
545	YOL136C
546	YNL156C
547	YBR150C
548	YIL119C
549	YMR304W
550	YHR016C
551	YDL181W
552	YFL033C
553	YHR106W
554	YER143W
555	YGR174C
556	YMR133W
557	YGR038C-A
558	YMR291W
559	YNL284C-A
560	YAL028W
561	YDR204W
562	YPR007C
563	YNR001C
564	YKL218C
565	YJR149W
566	YBR101C
567	YGR141W
568	YOR055W
569	YOL047C
570	YMR086W
571	YGL209W
572	YIR014W
573	YBR132C
574	YOL048C
575	YMR009W
576	YDR030C
577	YHR056C
578	YNL203C
579	YDR098C-A
580	YBL029W
581	YBR287W
582	YOR230W
583	YKR066C
584	YLL020C
585	YAL017W
586	YJL133C-A
587	YJR036C
588	YCR011C
589	YEL062W
590	YLR070C
591	YGR180C
592	YPR065W
593	YHL046W-A
594	YGL006W
595	YBL093C
596	YLR109W
597	YNL208W
598	YMR195W
599	YBR147W
600	YOR135C
601	YLR056W
602	YOR192C-B
603	YGL104C
604	YGR258C
605	YDR032C
606	YNL234W
607	YGR146C
608	YMR302C
609	YBR212W
610	YAL030W
611	YML042W
612	YJL016W
613	YKR067W
614	YBR157C
615	YDR436W
616	YCL038C
617	YLL023C
618	YLR219W
619	YOR053W
620	YBR293W
621	YNL239W
622	YDR003W
623	YDR525W-A
624	YOR383C
625	YMR031C
626	YKL150W
627	YER033C
628	YFL053W
629	YHR102W
630	YOR392W
631	YDR426C
632	YDR214W
633	YLR001C
634	YOR226C
635	YDL234C
636	YPR035W
637	YNL223W
638	YKL187C
639	YOR058C
640	YEL059W
641	YKL085W
642	YPL087W
643	YJL141C
644	YPR098C
645	YDR505C
646	YPL135W
647	YFL016C
648	YMR155W
649	YIR007W
650	YOR237W
651	YJL042W
652	YBR099C
653	YJL116C
654	YPL052W
655	YGL081W
656	YDR297W
657	YLR251W
658	YGL087C
659	YML045W-A
660	YGR110W
661	YLR023C
662	YBL086C
663	YNL101W
664	YMR280C
665	YHR001W-A
666	YDL171C
